#Size   Bandwidth (GB/s)    Time (sec)
256    0.917015     6.7e-05
512    1.95048     6.4e-05
1024    3.84     6.4e-05
2048    7.56185     6.5e-05
4096    15.1237     6.5e-05
8192    30.72     6.4e-05
16384    59.5782     6.6e-05
32768    77.1012     0.000102
65536    96.4947     0.000163
131072    118.707     0.000265
262144    132.731     0.000474
524288    140.748     0.000894
1048576    146.228     0.001721
2097152    148.998     0.003384
4194304    149.707     0.006731
8388608    150.378     0.013394

